========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

Acoustic Solutions                      1446, 1501
Anthem                                  2220
Cambridge Audio                         1730, 1982
Denon                                   0272, 2134
Halcro                                  1934
Logitech                                1408
Marantz                                 1892, 2138
Parasound                               1934
Primare                                 1851
Thule Audio                             1851
upXus                                   1446
Yamaha                                  0354


###### Setup Codes For Cable Set Top Box (C) ######

ADB                                     2254
Akado                                   2043, 2339
Altibox                                 2030
Amino                                   1602, 1481, 1822, 2482
AT&T                                    0858
Auna                                    1439
Azteca                                  2237
Belgacom TV                             2345
Bright House                            1376, 1877
Cable & Wireless                        1068
Cable One                               1376, 1877
Cablecom                                1582
Cablevision                             1376, 1877, 1006
Charter                                 1376, 1877, 2187
Chunghwa                                1917
Cisco                                   1877, 0877, 0858, 1982, 2345
ClubInternet                            2132
Com Hem                                 0660, 1666, 2015, 2447
Comcast                                 1376, 1877, 1982, 2576
Cox                                     1376, 1877
Daeryung                                1877, 0877
Digeo                                   1187, 2187
Freebox                                 1482, 1976
General Instrument                      1439
Gradiente                               1136
Hathw@y                                 2043
Homecast                                2301
Humax                                   0660, 1981, 1983, 2043, 2339, 2447
i3 Micro                                1602
Insight                                 1376, 1877
J:COM                                   1760, 1782
Jerrold                                 1439
Kabel Deutschland                       1981, 1983
KabelBW                                 1981, 1983, 2174
Kiss                                    2132
Knology                                 1877
KoolConnect                             1481
Kreatel                                 2030
Mediacom                                1376, 1877
Mega TV                                 2683
Motorola                                1376, 1187, 0858, 1439, 1982, 2030, 2378
MyLGTV                                  2682
Myrio                                   1602, 1822
NET                                     1439
Now TV                                  2013
NTL                                     1060, 1068, 1439
Ono                                     1068
Optus                                   1060
Orange                                  2407
Pace                                    1376, 1877, 1060, 1068, 1982
Panasonic                               1760, 1982
PCCW                                    2013
Philips                                 1582, 2174
Pioneer                                 1877, 0877, 1782
Premiere                                2174
Primestar                               2030
PrimeTV                                 2030
Qtel                                    1822
Rogers                                  1877
Sagem                                   2407
Samsung                                 1877, 1060, 1666, 1987, 2015, 2174, 2407
Scientific Atlanta                      1877, 0877, 0858, 1982, 1987, 2132, 2345
Sejin                                   1602
SetaBox                                 1917
Shaw                                    1376
Sony                                    1006
Stofa                                   2015
Suddenlink                              1376, 1877
SureWest                                1481
T-Home                                  2132
Telenet                                 1920
Telewest                                1068, 1987
Thomson                                 1582, 1981, 1982, 1983, 2174, 2237, 2407
Time Warner                             1376, 1877, 2187
Tivo                                    2576
UPC                                     1582
Verizon                                 2378
Viasat                                  2030
Viken Fibernett                         2030
Virgin Media                            1060, 1068, 1987
WideOpenWest                            1877
Ziggo                                   0660, 1666, 2015, 2447


--- Cable/PVR Combination (C) ---

Akado                                   2339
Amino                                   1822
Bright House                            1376, 1877
Cable One                               1376, 1877
Cablevision                             1376, 1877, 1006
Charter                                 1376, 1877, 2187
Cisco                                   1877, 1982
Comcast                                 1376, 1877, 1982, 2576
Cox                                     1376, 1877
Digeo                                   1187, 2187
Freebox                                 1482, 1976
