KEY,NAME,T,C,S,V,Y,R,D,N,A
1,POWER ,Power On/Off ,Power On/Off,Power On/Off,Power On/Off,Power On/Off,Power On/Off,Power On/Off,Power On/Off,Power On/Off
2,POWER ON,"On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off","On, Power On/Off"
3,POWER OFF,"Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off","Off, Power On/Off"
4,CHANNEL UP,Channel Up,Channel Up,Channel Up,Channel Up,Skip+  (Next Chapter),"Preset Up, Tune+","Skip+, Future Pick",Channel Up,"Preset Up, Tune+"
5,CHANNEL DOWN,Channel Down,Channel Down,Channel Down,Channel Down,Skip-  (Prev Chapter),"Preset Down, Tune -","Skip -, Future Pick",Channel Down,"Preset Down, Tune -"
6,VOLUME UP,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up,Volume Up
7,VOLUME DOWN,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down,Volume Down
8,MUTE,Mute,Mute,Mute,Mute,Mute,Mute,Mute,Mute,Mute
9,DIGIT 1,Digit 1,Digit 1,Digit 1,Digit 1,"Digit 1, Track 1","Digit 1, Source 1","Digit 1, Track 1, Disc 1",Digit 1,"Digit 1, Source 1"
10,DIGIT 2,Digit 2,Digit 2,Digit 2,Digit 2,"Digit 2, Track 2","Digit 2, Source 2","Digit 2, Track 2, Disc 2",Digit 2,"Digit 2, Source 2"
11,DIGIT 3,Digit 3,Digit 3,Digit 3,Digit 3,"Digit 3, Track 3","Digit 3, Source 3","Digit 3, Track 3, Disc 3",Digit 3,"Digit 3, Source 3"
12,DIGIT 4,Digit 4,Digit 4,Digit 4,Digit 4,"Digit 4, Track 4","Digit 4, Source 4","Digit 4, Track 4, Disc 4",Digit 4,"Digit 4, Source 4"
13,DIGIT 5,Digit 5,Digit 5,Digit 5,Digit 5,"Digit 5, Track 5","Digit 5, Source 5","Digit 5, Track 5, Disc 5",Digit 5,"Digit 5, Source 5"
14,DIGIT 6,Digit 6,Digit 6,Digit 6,Digit 6,"Digit 6, Track 6","Digit 6, Source 6","Digit 6, Track 6, Disc 6",Digit 6,"Digit 6, Source 6"
15,DIGIT 7,Digit 7,Digit 7,Digit 7,Digit 7,"Digit 7, Track 7","Digit 7, Source 7","Digit 7, Track 7, Disc 7",Digit 7,"Digit 7, Source 7"
16,DIGIT 8,Digit 8,Digit 8,Digit 8,Digit 8,"Digit 8, Track 8","Digit 8, Source 8","Digit 8, Track 8, Disc 8",Digit 8,"Digit 8, Source 8"
17,DIGIT 9,Digit 9,Digit 9,Digit 9,Digit 9,"Digit 9, Track 9","Digit 9, Source 9","Digit 9, Track 9, Disc 9",Digit 9,"Digit 9, Source 9"
18,DIGIT 0,Digit 0,Digit 0,Digit 0,Digit 0,"Digit 0, Track 10","Digit 0, Source 10","Digit 0, Track 10,Disc 10",Digit 0,"Digit 0, Source 10"
19,CHANNEL ENTER,"Channel Enter, 100","Channel Enter, 100","Channel Enter, 100","Channel Enter, 100","Channel Enter, 100","5.1, Prologic",Future Pick,"Channel Enter, 100","5.1, Prologic"
20,LAST CHANNEL,Last Channel,Last Channel,Last Channel,Last Channel,"Last Channel, Repeat",---,---,Last Channel,Repeat
21,INPUT ,"TV/Video, Input Select","Bypass, A/B, Input Select","TV/DSS/SAT, Input Select","TV/VCR, Input Select","TV/DVD, Input Select","DVD/Tuner, Input Select","CD/CDR/MD, Input Select","TV/Video, DTV","Bypass, Input Select"
22,PLAY,"Play [2],  SAP",Play,Play,Play,Play,Play,Play,Play  ,Play
23,STOP,"Stop [2], Surround",Stop,Stop,Stop,Stop,Stop,Stop,Stop  ,Stop
24,PAUSE,"Pause [2], HDMI1",Pause,Pause,Pause,Pause,Pause,Pause,Pause  ,Pause
25,REWIND,"Rewind [2], HDMI2",Rewind,Rewind,Rewind,Rewind,Rewind,Rewind,Rewind  ,Rewind
26,FAST FORWARD,"Fast Forward [2], HDMI3",Fast Forward,Fast Forward,Fast Forward,Fast Forward,Fast Forward,Fast Forward,F.Forward ,Fast Forward
27,RECORD,"Record [2], HDMI4",Record,Record,Record,Record,Record,Record,Record,Record
28,LIVE,"Internet, Future Pick",Return to Live,Return to Live,"Return to Live, Auto Tracking",Future Pick,Future Pick,Future Pick,Return to Live,Future Pick
29,SOURCE MENU,Menu ,"Menu, Settings","Menu (PVR,Tivo)","Menu (PVR,Tivo)",---,---,--- ,"Menu, Home","Menu, Program"
30,DEVICE MENU,Future Pick,PPV (Wink),"Menu (DTV), PPV",Menu,Setup Menu,Menu,---,"Setup, Program, Options",Future Pick
